Date,Open,High,Low,Close,Adj Close,Volume
12-mai-23,86.099998,86.459999,83.930000,86.220001,86.220001,957000
12-juin-23,87.180000,91.279999,86.779999,88.320000,88.320000,890300
12-juil.-23,88.180000,90.150002,87.839996,89.870003,89.870003,626700
12-août-23,89.709999,90.709999,88.849998,89.860001,89.860001,527900
12-nov.-23,89.150002,89.290001,86.760002,87.730003,87.730003,877200
12-déc.-23,87.720001,87.779999,84.379997,84.980003,84.980003,1333900
13-déc.-23,85.110001,88.209999,83.029999,88.180000,88.180000,1351600
14-déc.-23,90.470001,93.709999,89.739998,93.050003,93.050003,1262700
15-déc.-23,92.430000,92.900002,90.620003,91.889999,91.889999,4130500
18-déc.-23,92.690002,93.769997,91.220001,92.050003,92.050003,815000
19-déc.-23,92.410004,93.029999,91.769997,92.889999,92.889999,589700
20-déc.-23,92.089996,93.639999,91.379997,91.449997,91.449997,777500
21-déc.-23,92.669998,94.720001,92.650002,94.440002,94.440002,791100
22-déc.-23,94.180000,95.279999,93.879997,94.610001,94.610001,528000
26-déc.-23,95.279999,96.279999,94.980003,95.720001,95.720001,520800
27-déc.-23,95.959999,96.669998,95.720001,96.290001,96.290001,477300
28-déc.-23,95.970001,96.000000,94.760002,95.860001,95.860001,514800
29-déc.-23,95.440002,96.279999,94.230003,94.769997,94.769997,621400
01-févr.-24,94.129997,96.300003,93.290001,94.360001,94.360001,565900
01-mars-24,92.739998,92.970001,90.080002,90.339996,90.339996,681000
01-avr.-24,89.989998,90.129997,88.099998,88.180000,88.180000,836400
01-mai-24,87.540001,90.849998,87.540001,89.169998,89.169998,1153000
01-août-24,89.180000,91.360001,88.510002,90.599998,90.599998,672000
01-sept.-24,89.610001,91.360001,89.430000,89.889999,89.889999,626200
01-oct.-24,89.889999,91.099998,89.870003,90.470001,90.470001,514900
01-nov.-24,90.129997,91.389999,88.129997,88.620003,88.620003,486900
01-déc.-24,89.160004,90.970001,87.940002,88.160004,88.160004,645400
